brand,id,filename,description,rootfs_extracted,kernel_extracted,arch,kernel_version,url,product,version
openwrt,14727,openwrt/8e2caad4be6376534c04fe4a5f69adc23a98fea6.bin,openwrt-15.05-ar71xx-generic-tl-mr11u-v1-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr11u-v1-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14734,openwrt/7062fe9ad6d2c7b749a8e3f1dba898dd7bfe78d3.bin,openwrt-15.05-ar71xx-generic-tl-mr13u-v1-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr13u-v1-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14735,openwrt/b5b1fbbe0d016d6b518c076b47b45308231f3c8a.bin,openwrt-15.05-ar71xx-generic-tl-mr13u-v1-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr13u-v1-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14732,openwrt/4af51288d05973b5fd030437f61daea47c246390.bin,openwrt-15.05-ar71xx-generic-tl-mr12u-v1-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr12u-v1-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14730,openwrt/03783c16ad1affae51decfd88677e79da8fc4457.bin,openwrt-15.05-ar71xx-generic-tl-mr11u-v2-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr11u-v2-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14738,openwrt/b0c797a6d1fb202c0d4b8a4be4095a2e133cc218.bin,openwrt-15.05-ar71xx-generic-tl-mr3020-v1-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3020-v1-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14737,openwrt/5fbfe620420f45d07382043430b7f4abb077a6bc.bin,openwrt-15.05-ar71xx-generic-tl-mr3020-v1-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3020-v1-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14736,openwrt/c9ea4a2384e63bc45a022919425d268a63b2976e.bin,openwrt-15.05-ar71xx-generic-tl-mr3040-v1-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3040-v1-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14740,openwrt/a3853a3aad693bf9985af118491fde637ed13db0.bin,openwrt-15.05-ar71xx-generic-tl-mr3040-v2-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3040-v2-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14741,openwrt/d70dea42c34d6f65fbcd565484e89a10838ba54a.bin,openwrt-15.05-ar71xx-generic-tl-mr3040-v1-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3040-v1-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14739,openwrt/9979c0b20809f7b6bcbdf07d43a75d60d41e7d21.bin,openwrt-15.05-ar71xx-generic-tl-mr3040-v2-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3040-v2-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14742,openwrt/3609890e557828a24dd08cf4034b2df7529c0d8f.bin,openwrt-15.05-ar71xx-generic-tl-mr3220-v1-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3220-v1-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14743,openwrt/5e81eaf5464d6ca0e83f94684e95fe3dfd4382f9.bin,openwrt-15.05-ar71xx-generic-tl-mr3220-v1-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3220-v1-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14746,openwrt/0990a564d7c0b7de8c018a2b969f108c4f35de3f.bin,openwrt-15.05-ar71xx-generic-tl-mr3220-v2-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3220-v2-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14775,openwrt/9abeee92471d9560841952b489c753aaa03464ed.bin,openwrt-15.05-ar71xx-generic-tl-wa901nd-v1-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-wa901nd-v1-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14744,openwrt/1641d697e598ceb9b76b7fe0a1dc34c81202342b.bin,openwrt-15.05-ar71xx-generic-tl-mr3220-v2-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3220-v2-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14745,openwrt/ae764008f1091e12dcfba7c26122dde13479b236.bin,openwrt-15.05-ar71xx-generic-tl-mr3420-v1-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3420-v1-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14753,openwrt/4edcd546447624bca5a96790580f0986ca858311.bin,openwrt-15.05-ar71xx-generic-tl-wa701n-v1-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-wa701n-v1-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14749,openwrt/883e32d83a40126642308151da0bebd3020fbde0.bin,openwrt-15.05-ar71xx-generic-tl-mr3420-v2-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3420-v2-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14748,openwrt/0c827d502123c17b8931480215eb29e3caf1dbc9.bin,openwrt-15.05-ar71xx-generic-tl-mr3420-v1-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3420-v1-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14747,openwrt/003be7326cde78dd04c257502b01a5908510c5f3.bin,openwrt-15.05-ar71xx-generic-tl-mr3420-v2-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-mr3420-v2-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14751,openwrt/1130c0ec9918c310ce7e0e85e3e27b7d22e795fd.bin,openwrt-15.05-ar71xx-generic-tl-wa701n-v1-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-wa701n-v1-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14750,openwrt/198e41e4cdd30ad3a1bb184c6baed5103d1f7f6f.bin,openwrt-15.05-ar71xx-generic-tl-wa701nd-v2-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-wa701nd-v2-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14754,openwrt/7f12b1dc02bb00946522ab992e3a20868306ea6d.bin,openwrt-15.05-ar71xx-generic-tl-wa701nd-v2-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tl-wa701nd-v2-squashfs-factory.bin,15.0-ar71x-generi,
